"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Alouette lulu"
"0";"Autour des palombes"
"0";"Bécassine sourde"
"0";"Bruant des roseaux"
"0";"Bruant proyer"
"0";"Caille des blés"
"0";"Canard chipeau"
"0";"Canard pilet"
"0";"Canard siffleur"
"0";"Chevalier culblanc"
"0";"Chouette de Tengmalm"
"0";"Cincle plongeur"
"0";"Effraie des clochers"
"0";"Faisan de Colchide"
"0";"Faucon hobereau"
"0";"Fuligule milouin"
"0";"Gobemouche gris"
"0";"Grive mauvis"
"0";"Harle bièvre"
"0";"Harle huppé"
"0";"Hirondelle de rivage"
"0";"Huppe fasciée"
"0";"Hypolaïs polyglotte"
"0";"Jaseur boréal"
"0";"Linotte mélodieuse"
"0";"Marouette ponctuée"
"0";"Milan noir"
"0";"Oie cendrée"
"0";"Pie-grièche grise"
"0";"Pipit des arbres"
"0";"Pipit farlouse"
"0";"Pipit spioncelle"
"0";"Pouillot de Bonelli"
"0";"Rousserolle verderolle"
"0";"Sarcelle d'hiver"
"0";"Tarier des prés"
"0";"Tichodrome échelette"
"0";"Traquet motteux"
"0";"Vanneau huppé"
