"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Aigle botté"
"0";"Bécassine des marais"
"0";"Bihoreau gris"
"0";"Busard Saint-Martin"
"0";"Canard pilet"
"0";"Chevalier aboyeur"
"0";"Chevêche d'Athéna"
"0";"Cigogne blanche"
"0";"Cincle plongeur"
"0";"Cygne noir"
"0";"Fauvette babillarde"
"0";"Fuligule milouinan"
"0";"Fuligule nyroca"
"0";"Harelde boréale"
"0";"Héron pourpré"
"0";"Hirondelle de rivage"
"0";"Mésange boréale"
"0";"Mouette rieuse"
"0";"Oie cendrée"
"0";"Ouette d'Egypte"
"0";"Perdrix grise"
"0";"Rousserolle effarvatte"
"0";"Sarcelle d'été"
"0";"Sterne naine"
