"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Caille des blés"
"0";"Canard mandarin"
"0";"Chevalier aboyeur"
"0";"Chevalier gambette"
"0";"Cormoran huppé"
"0";"Courlis cendré"
"0";"Courlis corlieu"
"0";"Échasse blanche"
"0";"Faucon émerillon"
"0";"Goéland cendré"
"0";"Grand Gravelot"
"0";"Guêpier d'Europe"
"0";"Guifette noire"
"0";"Héron pourpré"
"0";"Huîtrier pie"
"0";"Inséparable de Fischer"
"0";"Milan royal"
"0";"Moineau friquet"
"0";"Pic cendré"
"0";"Pipit de Richard"
"0";"Pouillot à grands sourcils"
"0";"Sarcelle d'hiver"
"0";"Sizerin boréal (C.f.flammea)"
"0";"Sterne caugek"
"0";"Sterne pierregarin"
