"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Autour des palombes"
"0";"Bécasse des bois"
"0";"Bécassine des marais"
"0";"Bergeronnette des ruisseaux"
"0";"Bihoreau gris"
"0";"Bondrée apivore"
"0";"Bouscarle de Cetti"
"0";"Bouvreuil pivoine"
"0";"Canard chipeau"
"0";"Canard souchet"
"0";"Chevalier guignette"
"0";"Chevêche d'Athéna"
"0";"Cigogne blanche"
"0";"Cisticole des joncs"
"0";"Cochevis huppé"
"0";"Coucou gris"
"0";"Effraie des clochers"
"0";"Engoulevent d'Europe"
"0";"Faucon émerillon"
"0";"Faucon hobereau"
"0";"Fauvette des jardins"
"0";"Fauvette pitchou"
"0";"Fuligule milouin"
"0";"Fuligule morillon"
"0";"Grèbe castagneux"
"0";"Grive litorne"
"0";"Grive mauvis"
"0";"Grosbec casse-noyaux"
"0";"Héron pourpré"
"0";"Hypolaïs polyglotte"
"0";"Martinet noir"
"0";"Mésange noire"
"0";"Moineau friquet"
"0";"Moineau soulcie"
"0";"Oedicnème criard"
"0";"Pie-grièche à tête rousse"
"0";"Pie-grièche grise"
"0";"Pigeon biset domestique"
"0";"Pluvier doré"
"0";"Roitelet huppé"
"0";"Rougequeue à front blanc"
"0";"Tarin des aulnes"
"0";"Traquet motteux"
