"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Alouette calandrelle"
"0";"Autour des palombes"
"0";"Bécasseau cocorli"
"0";"Bécasseau maubèche"
"0";"Bécassine sourde"
"0";"Bouscarle de Cetti"
"0";"Bruant ortolan"
"0";"Busard cendré"
"0";"Canard chipeau"
"0";"Chevalier culblanc"
"0";"Circaète Jean-le-Blanc"
"0";"Cygne noir"
"0";"Eider à duvet"
"0";"Élanion blanc"
"0";"Faucon d'Eléonore"
"0";"Fauvette pitchou"
"0";"Flamant rose"
"0";"Foulque macroule"
"0";"Fulmar boréal"
"0";"Goéland à ailes blanches"
"0";"Goéland à bec cerclé"
"0";"Goéland bourgmestre"
"0";"Grèbe jougris"
"0";"Grive draine"
"0";"Grive litorne"
"0";"Guêpier d'Europe"
"0";"Guifette noire"
"0";"Guillemot de Troïl"
"0";"Inséparable de Fischer"
"0";"Labbe parasite"
"0";"Labbe pomarin"
"0";"Macareux moine"
"0";"Mergule nain"
"0";"Merle à plastron"
"0";"Mésange nonnette"
"0";"Mouette de Sabine"
"0";"Mouette pygmée"
"0";"Océanite tempête"
"0";"Oedicnème criard"
"0";"Oie des moissons"
"0";"Phalarope à bec large"
"0";"Phragmite des joncs"
"0";"Pic noir"
"0";"Pie-grièche écorcheur"
"0";"Pigeon biset domestique"
"0";"Pipit de Richard"
"0";"Pipit des arbres"
"0";"Pouillot siffleur"
"0";"Puffin cendré"
"0";"Rémiz penduline"
"0";"Rougequeue à front blanc"
"0";"Sarcelle d'été"
"0";"Sterne arctique"
"0";"Sterne caspienne"
"0";"Sterne naine"
"0";"Sterne pierregarin"
"0";"Torcol fourmilier"
"0";"Tourterelle des bois"
