"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Bécasseau variable"
"0";"Bécassine sourde"
"0";"Bruant proyer"
"0";"Busard des roseaux"
"0";"Calopsitte élégante"
"0";"Chevalier gambette"
"0";"Cigogne noire"
"0";"Courlis corlieu"
"0";"Crabier chevelu"
"0";"Faucon hobereau"
"0";"Faucon kobez"
"0";"Fuligule nyroca"
"0";"Goéland brun"
"0";"Goéland cendré"
"0";"Gorgebleue à miroir"
"0";"Grèbe castagneux"
"0";"Guifette noire"
"0";"Harle bièvre"
"0";"Hibou des marais"
"0";"Martinet à ventre blanc"
"0";"Mésange boréale"
"0";"Ouette d'Egypte"
"0";"Perdrix grise"
"0";"Pie-grièche à tête rousse"
"0";"Pigeon colombin"
"0";"Pipit des arbres"
"0";"Plongeon catmarin"
"0";"Pluvier guignard"
"0";"Sarcelle d'été"
"0";"Sizerin flammé"
"0";"Sterne caspienne"
"0";"Tarier des prés"
"0";"Torcol fourmilier"
"0";"Traquet motteux"
