frname,lastobs,newcount,oldcount
Alouette des champs,2016,0,8
Bruant des roseaux,2014,0,1
Bruant ortolan,2016,0,11
Bruant proyer,2015,0,4
Busard des roseaux,2014,0,4
Butor étoilé,2018,0,1
Chevalier culblanc,2018,0,2
Cigogne blanche,2018,0,3
Corneille mantelée,2009,0,3
Échasse blanche,2015,0,1
Faucon kobez,2008,0,1
Fauvette babillarde,2009,0,4
Foulque macroule,2018,0,1
Gobemouche gris,2014,0,5
Hibou moyen-duc,2012,0,4
Hirondelle de rivage,2015,0,1
Hirondelle rousseline,2014,0,1
Jaseur boréal,2009,0,1
Merle à plastron,2010,0,3
Mésange boréale,2017,0,1
Moineau friquet,2009,0,1
Moineau soulcie,2009,0,1
Monticole bleu,2010,0,2
Pluvier guignard,2012,0,4
Pouillot fitis,2018,0,4
Pouillot siffleur,2016,0,1
Sarcelle d'été,2012,0,1
Sizerin cabaret,2019,0,2
Sizerin flammé,2019,0,2
Tarier des prés,2018,0,15
Vanneau huppé,2016,0,2
