"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Avocette élégante"
"0";"Bécasse des bois"
"0";"Bécassine des marais"
"0";"Bruant des roseaux"
"0";"Bruant zizi"
"0";"Caille des blés"
"0";"Canard souchet"
"0";"Chevalier culblanc"
"0";"Cigogne noire"
"0";"Cincle plongeur"
"0";"Corbeau freux"
"0";"Effraie des clochers"
"0";"Faisan de Colchide"
"0";"Faucon d'Eléonore"
"0";"Gobemouche gris"
"0";"Grand-duc d'Europe"
"0";"Linotte mélodieuse"
"0";"Moineau friquet"
"0";"Nette rousse"
"0";"Pipit farlouse"
"0";"Sarcelle d'hiver"
"0";"Tarier des prés"
"0";"Torcol fourmilier"
"0";"Traquet motteux"
"0";"Vautour moine"
