"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Avocette élégante"
"0";"Barge à queue noire"
"0";"Bécasseau variable"
"0";"Bernache du Canada"
"0";"Butor étoilé"
"0";"Canard carolin"
"0";"Chevalier gambette"
"0";"Combattant varié"
"0";"Courlis cendré"
"0";"Cygne noir"
"0";"Faucon émerillon"
"0";"Fuligule milouinan"
"0";"Garrot à oeil d'or"
"0";"Grand Gravelot"
"0";"Guifette moustac"
"0";"Hibou des marais"
"0";"Ibis falcinelle"
"0";"Locustelle luscinioïde"
"0";"Locustelle tachetée"
"0";"Milan royal"
"0";"Moineau friquet"
"0";"Nette rousse"
"0";"Océanite culblanc"
"0";"Ouette d'Egypte"
"0";"Perdrix rouge"
"0";"Pic mar"
"0";"Pipit spioncelle"
"0";"Pouillot à grands sourcils"
"0";"Râle d'eau"
"0";"Râle des genêts"
"0";"Rémiz penduline"
"0";"Rougequeue à front blanc"
"0";"Rousserolle effarvatte"
"0";"Sizerin cabaret"
"0";"Sizerin flammé"
"0";"Sterne pierregarin"
"0";"Tadorne casarca"
"0";"Torcol fourmilier"
