"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Accenteur alpin"
"0";"Alouette des champs"
"0";"Alouette lulu"
"0";"Autour des palombes"
"0";"Bécasse des bois"
"0";"Bécassine des marais"
"0";"Bécassine sourde"
"0";"Bruant fou"
"0";"Bruant proyer"
"0";"Busard Saint-Martin"
"0";"Caille des blés"
"0";"Engoulevent d'Europe"
"0";"Faisan de Colchide"
"0";"Fauvette pitchou"
"0";"Fuligule milouin"
"0";"Gobemouche gris"
"0";"Grive litorne"
"0";"Grive mauvis"
"0";"Hirondelle de rivage"
"0";"Merle à plastron"
"0";"Mésange huppée"
"0";"Moineau friquet"
"0";"Oie cendrée"
"0";"Perdrix rouge"
"0";"Petit Gravelot"
"0";"Pigeon colombin"
"0";"Tadorne de Belon"
"0";"Torcol fourmilier"
"0";"Vanneau huppé"
