"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Accenteur alpin"
"0";"Alouette haussecol"
"0";"Bécasseau minute"
"0";"Bernache du Canada"
"0";"Bihoreau gris"
"0";"Bruant lapon"
"0";"Bruant ortolan"
"0";"Caille des blés"
"0";"Chevalier sylvain"
"0";"Chevêche d'Athéna"
"0";"Cochevis huppé"
"0";"Échasse blanche"
"0";"Faucon d'Eléonore"
"0";"Foulque macroule"
"0";"Fuligule milouin"
"0";"Fuligule morillon"
"0";"Garrot à oeil d'or"
"0";"Gobemouche nain"
"0";"Goéland à ailes blanches"
"0";"Gorgebleue à miroir"
"0";"Grèbe castagneux"
"0";"Grimpereau des jardins"
"0";"Harelde boréale"
"0";"Harle bièvre"
"0";"Harle piette"
"0";"Hirondelle rousseline"
"0";"Hypolaïs ictérine"
"0";"Ibis falcinelle"
"0";"Ibis sacré"
"0";"Labbe à longue queue"
"0";"Linotte à bec jaune"
"0";"Locustelle tachetée"
"0";"Macareux moine"
"0";"Martinet pâle"
"0";"Mergule nain"
"0";"Milan royal"
"0";"Moineau friquet"
"0";"Nette rousse"
"0";"Océanite de Wilson"
"0";"Oie des moissons"
"0";"Oie rieuse"
"0";"Perdrix grise"
"0";"Petit-duc scops"
"0";"Phalarope à bec étroit"
"0";"Pie-grièche écorcheur"
"0";"Pipit de Richard"
"0";"Pouillot à grands sourcils"
"0";"Pouillot ibérique"
"0";"Pouillot siffleur"
"0";"Rémiz penduline"
"0";"Sittelle torchepot"
"0";"Sizerin cabaret"
"0";"Sizerin flammé"
"0";"Sterne arctique"
"0";"Sterne caspienne"
"0";"Sterne de Dougall"
"0";"Tisserin gendarme"
