"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Accenteur mouchet"
"0";"Aigrette garzette"
"0";"Alouette des champs"
"0";"Bergeronnette des ruisseaux"
"0";"Bondrée apivore"
"0";"Bruant jaune"
"0";"Chouette hulotte"
"0";"Circaète Jean-le-Blanc"
"0";"Cochevis huppé"
"0";"Coucou gris"
"0";"Engoulevent d'Europe"
"0";"Épervier d'Europe"
"0";"Faisan de Colchide"
"0";"Fauvette grisette"
"0";"Gobemouche gris"
"0";"Hypolaïs polyglotte"
"0";"Loriot d'Europe"
"0";"Martin-pêcheur d'Europe"
"0";"Petit-duc scops"
"0";"Pie-grièche écorcheur"
"0";"Pipit des arbres"
"0";"Pouillot de Bonelli"
"0";"Serin cini"
