frname,lastobs,newcount,oldcount
Bihoreau gris,2015,0,2
Bruant fou,2009,0,2
Bulbul orphée,2010,0,1
Canard mandarin,2017,0,23
Chevalier sylvain,2015,0,1
Corneille mantelée,2007,0,1
Courlis cendré,2018,0,2
Fauvette passerinette,2016,0,1
Fuligule milouin,2013,0,13
Goéland brun,2010,0,2
Grèbe huppé,2018,0,3
Guifette noire,2018,0,3
Harle bièvre,2011,0,5
Macreuse noire,2012,0,2
Marouette poussin,2017,0,1
Milan noir,2015,0,3
Phragmite des joncs,2014,0,2
Rousserolle effarvatte,2015,0,3
Rousserolle turdoïde,2018,0,1
Sarcelle d'été,2015,0,3
Sarcelle d'hiver,2012,0,2
Sterne naine,2017,0,1
