"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Barge rousse"
"0";"Bécasseau de Temminck"
"0";"Bécasseau tacheté"
"0";"Bécassine sourde"
"0";"Bergeronnette flavéole (M.f.flavissima)"
"0";"Bernache du Canada"
"0";"Buse pattue"
"0";"Canard mandarin"
"0";"Courlis corlieu"
"0";"Crabier chevelu"
"0";"Fuligule à bec cerclé"
"0";"Goéland marin"
"0";"Grèbe esclavon"
"0";"Guifette leucoptère"
"0";"Harelde boréale"
"0";"Hibou des marais"
"0";"Ibis falcinelle"
"0";"Martinet à ventre blanc"
"0";"Oie naine"
"0";"Pic cendré"
"0";"Pie-grièche grise"
"0";"Sizerin boréal (C.f.flammea)"
