"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Aigle botté"
"0";"Autour des palombes"
"0";"Bihoreau gris"
"0";"Bruant fou"
"0";"Chevalier culblanc"
"0";"Chevalier sylvain"
"0";"Cigogne noire"
"0";"Courlis corlieu"
"0";"Crabier chevelu"
"0";"Échasse blanche"
"0";"Faucon émerillon"
"0";"Fauvette grisette"
"0";"Grèbe à cou noir"
"0";"Grive draine"
"0";"Grive mauvis"
"0";"Grosbec casse-noyaux"
"0";"Harle huppé"
"0";"Hirondelle rousseline"
"0";"Milan noir"
"0";"Oedicnème criard"
"0";"Perdrix rouge"
"0";"Pic épeichette"
"0";"Pie-grièche à tête rousse"
"0";"Pouillot de Bonelli"
"0";"Pouillot siffleur"
"0";"Rougequeue à front blanc"
"0";"Sarcelle d'hiver"
"0";"Tadorne casarca"
"0";"Tadorne de Belon"
"0";"Tarier des prés"
"0";"Tarier pâtre"
"0";"Torcol fourmilier"
