"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Accenteur mouchet"
"0";"Alouette des champs"
"0";"Autour des palombes"
"0";"Bergeronnette des ruisseaux"
"0";"Bergeronnette printanière"
"0";"Bondrée apivore"
"0";"Bruant jaune"
"0";"Chouette de Tengmalm"
"0";"Cincle plongeur"
"0";"Coucou gris"
"0";"Épervier d'Europe"
"0";"Fauvette des jardins"
"0";"Gobemouche gris"
"0";"Gobemouche noir"
"0";"Grand Cormoran"
"0";"Grive mauvis"
"0";"Grosbec casse-noyaux"
"0";"Harle bièvre"
"0";"Héron cendré"
"0";"Hibou moyen-duc"
"0";"Loriot d'Europe"
"0";"Martin-pêcheur d'Europe"
"0";"Merle à plastron"
"0";"Mésange à longue queue"
"0";"Mésange boréale"
"0";"Pic épeichette"
"0";"Pie-grièche grise"
"0";"Pinson du Nord"
"0";"Pipit des arbres"
"0";"Pipit farlouse"
"0";"Roitelet huppé"
"0";"Sarcelle d'hiver"
"0";"Tourterelle des bois"
"0";"Venturon montagnard"
