"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Bruant ortolan"
"0";"Bruant zizi"
"0";"Busard Saint-Martin"
"0";"Canard pilet"
"0";"Chevalier sylvain"
"0";"Chevêchette d'Europe"
"0";"Cigogne noire"
"0";"Étourneau sansonnet"
"0";"Faucon d'Eléonore"
"0";"Faucon émerillon"
"0";"Faucon hobereau"
"0";"Gobemouche gris"
"0";"Grand Cormoran"
"0";"Grand-duc d'Europe"
"0";"Grive litorne"
"0";"Héron cendré"
"0";"Hibou moyen-duc"
"0";"Hirondelle rousseline"
"0";"Loriot d'Europe"
"0";"Milan royal"
"0";"Pic vert"
"0";"Pie-grièche à tête rousse"
"0";"Rollier d'Europe"
"0";"Tichodrome échelette"
