"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Barge rousse"
"0";"Bec-croisé des sapins"
"0";"Bergeronnette printanière"
"0";"Blongios nain"
"0";"Bondrée apivore"
"0";"Bouscarle de Cetti"
"0";"Bruant proyer"
"0";"Bruant zizi"
"0";"Caille des blés"
"0";"Canard chipeau"
"0";"Canard pilet"
"0";"Canard siffleur"
"0";"Canard souchet"
"0";"Chevêche d'Athéna"
"0";"Combattant varié"
"0";"Courlis cendré"
"0";"Courlis corlieu"
"0";"Cygne chanteur"
"0";"Engoulevent d'Europe"
"0";"Fauvette pitchou"
"0";"Foulque macroule"
"0";"Fuligule à bec cerclé"
"0";"Goéland à ailes blanches"
"0";"Goéland marin"
"0";"Grand Corbeau"
"0";"Grand Cormoran"
"0";"Grande Aigrette"
"0";"Grand Gravelot"
"0";"Gravelot à collier interrompu"
"0";"Grèbe castagneux"
"0";"Grosbec casse-noyaux"
"0";"Hibou moyen-duc"
"0";"Huîtrier pie"
"0";"Jaseur boréal"
"0";"Mésange noire"
"0";"Milan noir"
"0";"Moineau friquet"
"0";"Mouette mélanocéphale"
"0";"Phragmite des joncs"
"0";"Pipit à gorge rousse"
"0";"Pipit maritime"
"0";"Râle d'eau"
"0";"Rousserolle effarvatte"
"0";"Sarcelle d'été"
"0";"Serin cini"
"0";"Tadorne de Belon"
