"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Alouette des champs"
"0";"Alouette lulu"
"0";"Bécasse des bois"
"0";"Bouscarle de Cetti"
"0";"Bruant des roseaux"
"0";"Bruant fou"
"0";"Busard Saint-Martin"
"0";"Caille des blés"
"0";"Cassenoix moucheté"
"0";"Chouette hulotte"
"0";"Coucou gris"
"0";"Cygne tuberculé"
"0";"Fauvette des jardins"
"0";"Fauvette grisette"
"0";"Fauvette passerinette"
"0";"Fou de Bassan"
"0";"Gobemouche à collier"
"0";"Goéland brun"
"0";"Grand-duc d'Europe"
"0";"Grèbe à cou noir"
"0";"Grèbe huppé"
"0";"Grive draine"
"0";"Grive mauvis"
"0";"Grosbec casse-noyaux"
"0";"Harle huppé"
"0";"Hirondelle de rivage"
"0";"Hypolaïs polyglotte"
"0";"Moineau cisalpin"
"0";"Nette rousse"
"0";"Perdrix rouge"
"0";"Pic épeiche"
"0";"Pic épeichette"
"0";"Pie-grièche écorcheur"
"0";"Pinson du Nord"
"0";"Pipit de Richard"
"0";"Pouillot de Bonelli"
"0";"Pouillot siffleur"
"0";"Puffin de Scopoli"
"0";"Puffin yelkouan"
"0";"Râle d'eau"
"0";"Sittelle torchepot"
"0";"Tarier pâtre"
"0";"Tourterelle des bois"
"0";"Tourterelle rieuse"
