"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Aigrette garzette"
"0";"Bihoreau gris"
"0";"Busard cendré"
"0";"Buse pattue"
"0";"Butor étoilé"
"0";"Chevalier aboyeur"
"0";"Choucas des tours"
"0";"Cigogne noire"
"0";"Cochevis huppé"
"0";"Cygne noir"
"0";"Faucon kobez"
"0";"Fauvette babillarde"
"0";"Fuligule milouin"
"0";"Fuligule nyroca"
"0";"Garrot à oeil d'or"
"0";"Huppe fasciée"
"0";"Hypolaïs polyglotte"
"0";"Jaseur boréal"
"0";"Martinet à ventre blanc"
"0";"Mésange boréale"
"0";"Panure à moustaches"
"0";"Perdrix grise"
"0";"Petit Gravelot"
"0";"Pluvier doré"
"0";"Sarcelle d'été"
"0";"Tarier des prés"
"0";"Torcol fourmilier"
