"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Alouette des champs"
"0";"Alouette lulu"
"0";"Bergeronnette des ruisseaux"
"0";"Bergeronnette printanière"
"0";"Bouvreuil pivoine"
"0";"Bruant jaune"
"0";"Bruant proyer"
"0";"Busard cendré"
"0";"Busard Saint-Martin"
"0";"Caille des blés"
"0";"Chardonneret élégant"
"0";"Chevêche d'Athéna"
"0";"Chouette hulotte"
"0";"Cisticole des joncs"
"0";"Cochevis huppé"
"0";"Effraie des clochers"
"0";"Épervier d'Europe"
"0";"Étourneau sansonnet"
"0";"Fauvette babillarde"
"0";"Fauvette des jardins"
"0";"Fauvette grisette"
"0";"Foulque macroule"
"0";"Gallinule poule-d'eau"
"0";"Gobemouche gris"
"0";"Grèbe castagneux"
"0";"Hibou moyen-duc"
"0";"Hirondelle de fenêtre"
"0";"Hirondelle de rivage"
"0";"Huppe fasciée"
"0";"Hypolaïs polyglotte"
"0";"Linotte mélodieuse"
"0";"Locustelle tachetée"
"0";"Martinet noir"
"0";"Martin-pêcheur d'Europe"
"0";"Perdrix grise"
"0";"Perdrix rouge"
"0";"Pic noir"
"0";"Pie-grièche écorcheur"
"0";"Pigeon biset domestique"
"0";"Pipit des arbres"
"0";"Pouillot fitis"
"0";"Rossignol philomèle"
"0";"Rougequeue à front blanc"
"0";"Serin cini"
"0";"Tourterelle des bois"
