"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Barge rousse"
"0";"Bécassine sourde"
"0";"Bruant des neiges"
"0";"Bruant jaune"
"0";"Bruant nain"
"0";"Bruant ortolan"
"0";"Chevalier stagnatile"
"0";"Cormoran pygmée"
"0";"Cygne chanteur"
"0";"Élanion blanc"
"0";"Fauvette babillarde"
"0";"Garrot à oeil d'or"
"0";"Goéland brun"
"0";"Goéland cendré"
"0";"Grand Corbeau"
"0";"Gravelot à collier interrompu"
"0";"Grèbe à bec bigarré"
"0";"Grive mauvis"
"0";"Grosbec casse-noyaux"
"0";"Guifette leucoptère"
"0";"Macreuse brune"
"0";"Macreuse noire"
"0";"Mésange noire"
"0";"Monticole de roche"
"0";"Mouette pygmée"
"0";"Perdrix grise"
"0";"Sterne caugek"
"0";"Tadorne casarca"
"0";"Traquet du désert"
"0";"Vautour moine"
