frname,lastobs,newcount,oldcount
Aigle botté,2018,0,1
Bihoreau gris,2016,0,3
Bouvreuil pivoine,2017,0,3
Bruant fou,2011,0,1
Bruant mélanocéphale,2017,0,1
Bruant ortolan,2017,0,21
Butor étoilé,2015,0,4
Canard chipeau,2015,0,2
Chevalier aboyeur,2016,0,2
Chevalier gambette,2014,0,1
Cigogne noire,2018,0,2
Combattant varié,2013,0,2
Corneille mantelée,2018,0,2
Dendrocygne fauve,2011,0,2
Échasse blanche,2018,0,1
Engoulevent d'Europe,2017,0,1
Fauvette mélanocéphale,2010,0,1
Fauvette passerinette,2014,0,1
Gorgebleue à miroir,2013,0,4
Grèbe huppé,2015,0,1
Guifette noire,2016,0,1
Harle huppé,2011,0,1
Marouette ponctuée,2016,0,2
Mouette mélanocéphale,2018,0,2
Nette rousse,2016,0,1
Oie cendrée,2015,0,1
Phragmite des joncs,2018,0,3
Pipit de Richard,2017,0,4
Pipit spioncelle,2016,0,9
Pluvier guignard,2014,0,4
Pouillot siffleur,2018,0,2
Râle d'eau,2017,0,9
Sarcelle d'été,2015,0,6
Sarcelle d'hiver,2018,0,4
Vautour fauve,2012,0,1
