"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Bécasse des bois"
"0";"Busard cendré"
"0";"Busard des roseaux"
"0";"Canard mandarin"
"0";"Chevalier culblanc"
"0";"Cigogne blanche"
"0";"Cochevis huppé"
"0";"Coucou geai"
"0";"Faucon crécerellette"
"0";"Faucon émerillon"
"0";"Fauvette à lunettes"
"0";"Fauvette des jardins"
"0";"Fauvette passerinette"
"0";"Goéland leucophée"
"0";"Grand Corbeau"
"0";"Grèbe huppé"
"0";"Guêpier d'Europe"
"0";"Mésange nonnette"
"0";"Petit-duc scops"
"0";"Pie-grièche écorcheur"
"0";"Pipit des arbres"
"0";"Pouillot fitis"
"0";"Pouillot siffleur"
"0";"Sarcelle d'hiver"
"0";"Traquet motteux"
"0";"Vautour fauve"
