"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Bécassine sourde"
"0";"Bec-croisé des sapins"
"0";"Bergeronnette printanière"
"0";"Busard Saint-Martin"
"0";"Butor étoilé"
"0";"Canard souchet"
"0";"Cigogne blanche"
"0";"Courlis cendré"
"0";"Érismature rousse"
"0";"Garrot à oeil d'or"
"0";"Goéland cendré"
"0";"Grimpereau des bois"
"0";"Harle bièvre"
"0";"Locustelle tachetée"
"0";"Moineau friquet"
"0";"Perdrix rouge"
"0";"Pie-grièche grise"
"0";"Pluvier doré"
"0";"Pouillot à grands sourcils"
"0";"Pouillot fitis"
"0";"Râle d'eau"
