"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Autour des palombes"
"0";"Bécassine des marais"
"0";"Bergeronnette printanière"
"0";"Busard des roseaux"
"0";"Busard Saint-Martin"
"0";"Caille des blés"
"0";"Chevalier aboyeur"
"0";"Chevalier culblanc"
"0";"Chevalier gambette"
"0";"Chevalier sylvain"
"0";"Choucas des tours"
"0";"Combattant varié"
"0";"Corneille mantelée"
"0";"Grand Gravelot"
"0";"Hirondelle de rivage"
"0";"Lagopède alpin"
"0";"Loriot d'Europe"
"0";"Moineau soulcie"
"0";"Niverolle alpine"
"0";"Perdrix rouge"
"0";"Pic épeichette"
"0";"Pigeon biset domestique"
"0";"Pipit à gorge rousse"
"0";"Pipit spioncelle"
"0";"Pouillot siffleur"
