"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Bergeronnette printanière"
"0";"Bouvreuil pivoine"
"0";"Bruant des roseaux"
"0";"Bruant jaune"
"0";"Busard cendré"
"0";"Caille des blés"
"0";"Choucas des tours"
"0";"Chouette hulotte"
"0";"Corbeau freux"
"0";"Coucou gris"
"0";"Effraie des clochers"
"0";"Faisan de Colchide"
"0";"Faucon pèlerin"
"0";"Fauvette des jardins"
"0";"Fauvette grisette"
"0";"Geai des chênes"
"0";"Gobemouche gris"
"0";"Grande Aigrette"
"0";"Grèbe huppé"
"0";"Grimpereau des jardins"
"0";"Grosbec casse-noyaux"
"0";"Hibou moyen-duc"
"0";"Hirondelle de fenêtre"
"0";"Huppe fasciée"
"0";"Hypolaïs polyglotte"
"0";"Loriot d'Europe"
"0";"Perdrix grise"
"0";"Perdrix rouge"
"0";"Pic mar"
"0";"Pigeon colombin"
"0";"Pipit des arbres"
"0";"Pipit farlouse"
"0";"Pluvier doré"
"0";"Pouillot véloce"
"0";"Roitelet huppé"
"0";"Rossignol philomèle"
"0";"Rougequeue à front blanc"
"0";"Rousserolle effarvatte"
"0";"Tarier pâtre"
"0";"Tourterelle des bois"
"0";"Vanneau huppé"
