frname,lastobs,newcount,oldcount
Aigrette garzette,2016,0,1
Alouette lulu,2016,0,1
Bécassine des marais,2018,0,3
Bernache du Canada,2018,0,2
Bouscarle de Cetti,2014,0,1
Bruant des roseaux,2017,0,7
Bruant jaune,2016,0,2
Bruant proyer,2018,0,1
Canard mandarin,2016,0,2
Cisticole des joncs,2009,0,1
Cygne tuberculé,2016,0,1
Fauvette grisette,2016,0,4
Fauvette pitchou,2009,0,1
Goéland cendré,2017,0,4
Grosbec casse-noyaux,2017,0,4
Hypolaïs polyglotte,2016,0,6
Oie cendrée,2018,0,1
Perdrix grise,2016,0,2
Pic noir,2016,0,1
Pouillot à grands sourcils,2017,0,10
Pouillot fitis,2009,0,1
Râle d'eau,2016,0,1
Torcol fourmilier,2016,0,1
Traquet motteux,2017,0,1
