"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Alouette lulu"
"0";"Bécasse des bois"
"0";"Bergeronnette printanière"
"0";"Bernache du Canada"
"0";"Bondrée apivore"
"0";"Busard Saint-Martin"
"0";"Caille des blés"
"0";"Canard chipeau"
"0";"Canard mandarin"
"0";"Cincle plongeur"
"0";"Faucon hobereau"
"0";"Faucon pèlerin"
"0";"Fuligule milouinan"
"0";"Gobemouche noir"
"0";"Harle bièvre"
"0";"Hirondelle de rivage"
"0";"Hypolaïs polyglotte"
"0";"Locustelle tachetée"
"0";"Mésange boréale"
"0";"Perdrix grise"
"0";"Pie-grièche grise"
"0";"Pipit farlouse"
"0";"Pouillot siffleur"
"0";"Râle d'eau"
"0";"Sizerin flammé"
"0";"Tarier des prés"
"0";"Tourterelle des bois"
"0";"Traquet motteux"
"0";"Vanneau huppé"
