"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Bécasse des bois"
"0";"Bergeronnette des ruisseaux"
"0";"Bondrée apivore"
"0";"Bruant zizi"
"0";"Busard pâle"
"0";"Canard pilet"
"0";"Chevêche d'Athéna"
"0";"Chouette hulotte"
"0";"Cigogne noire"
"0";"Échasse blanche"
"0";"Effraie des clochers"
"0";"Faucon pèlerin"
"0";"Gobemouche noir"
"0";"Grèbe à cou noir"
"0";"Huppe fasciée"
"0";"Locustelle tachetée"
"0";"Mésange boréale"
"0";"Perdrix rouge"
"0";"Perruche à collier"
"0";"Petit Gravelot"
"0";"Pie-grièche grise"
"0";"Râle d'eau"
"0";"Roitelet à triple bandeau"
