frname,lastobs,newcount,oldcount
Autour des palombes,2009,0,2
Bec-croisé des sapins,2018,0,2
Bruant jaune,2009,0,1
Chouette de Tengmalm,2009,0,1
Chouette hulotte,2009,0,1
Circaète Jean-le-Blanc,2018,0,5
Étourneau sansonnet,2009,0,1
Faucon émerillon,2018,0,1
Faucon pèlerin,2017,0,3
Gobemouche gris,2018,0,1
Grand Cormoran,2018,0,1
Grand-duc d'Europe,2009,0,1
Grand Tétras,2009,0,2
Lagopède alpin,2018,0,9
Moineau domestique,2009,0,1
Niverolle alpine,2019,0,6
Pic à dos blanc,2009,0,1
Pic de Sharpe,2018,0,1
Pic vert,2018,0,4
Pie bavarde,2009,0,1
Pigeon biset domestique,2009,0,1
Pigeon biset (origine naturelle),2009,0,1
Pinson du Nord,2018,0,2
Pipit farlouse,2018,0,3
Rougequeue à front blanc,2009,0,1
Rousserolle effarvatte,2018,0,1
Serin cini,2018,0,4
Tarier pâtre,2009,0,1
Tourterelle des bois,2009,0,1
Tourterelle turque,2009,0,1
Verdier d'Europe,2009,0,1
