"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Accenteur alpin"
"0";"Bruant ortolan"
"0";"Bruant proyer"
"0";"Bruant zizi"
"0";"Chevalier culblanc"
"0";"Chevalier guignette"
"0";"Cigogne noire"
"0";"Fauvette des jardins"
"0";"Fauvette passerinette"
"0";"Grand-duc d'Europe"
"0";"Grive mauvis"
"0";"Grosbec casse-noyaux"
"0";"Martinet à ventre blanc"
"0";"Monticole bleu"
"0";"Monticole de roche"
"0";"Niverolle alpine"
"0";"Perdrix grise"
"0";"Pic épeichette"
"0";"Pie-grièche grise"
"0";"Pinson du Nord"
"0";"Pipit rousseline"
"0";"Pouillot fitis"
"0";"Verdier d'Europe"
