frname,lastobs,newcount,oldcount
Aigle botté,2017,0,1
Autour des palombes,2017,0,2
Barge à queue noire,2008,0,1
Bécassine sourde,2016,0,1
Bihoreau gris,2016,0,6
Canard mandarin,2017,0,1
Canard siffleur,2014,0,2
Choucas des tours,2018,0,3
Faucon émerillon,2017,0,2
Fauvette des jardins,2017,0,14
Goéland brun,2016,0,1
Grèbe à cou noir,2017,0,2
Guifette moustac,2016,0,2
Guifette noire,2016,0,1
Hibou moyen-duc,2017,0,15
Mésange huppée,2013,0,3
Mésange nonnette,2009,0,1
Moineau friquet,2018,0,13
Phragmite des joncs,2016,0,1
Pigeon biset (origine naturelle),2009,0,1
Pouillot de Bonelli,2013,0,4
Pouillot siffleur,2017,0,1
Roitelet à triple bandeau,2017,0,5
