frname,lastobs,newcount,oldcount
Aigrette garzette,2009,0,1
Bécasse des bois,2009,0,1
Bouscarle de Cetti,2015,0,1
Bruant des roseaux,2017,0,2
Bruant proyer,2014,0,1
Busard des roseaux,2016,0,2
Busard Saint-Martin,2018,0,3
Canard chipeau,2009,0,1
Canard pilet,2009,0,1
Canard siffleur,2009,0,1
Chevalier culblanc,2009,0,1
Cochevis huppé,2012,0,1
Courlis cendré,2009,0,1
Cygne tuberculé,2017,0,2
Faucon émerillon,2018,0,2
Foulque macroule,2009,0,1
Fuligule milouin,2009,0,1
Fuligule milouinan,2009,0,1
Fuligule morillon,2009,0,1
Grèbe huppé,2009,0,1
Grive litorne,2015,0,2
Hibou moyen-duc,2009,0,2
Locustelle tachetée,2007,0,1
Mésange huppée,2017,0,2
Mouette rieuse,2015,0,1
Pigeon colombin,2009,0,1
Pipit farlouse,2017,0,6
Pipit spioncelle,2009,0,1
Pouillot de Bonelli,2007,0,1
Pouillot siffleur,2007,0,1
Roitelet huppé,2009,0,1
Sarcelle d'hiver,2009,0,1
Vanneau huppé,2012,0,2
