"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Alouette lulu"
"0";"Bécassine des marais"
"0";"Bondrée apivore"
"0";"Bouvreuil pivoine"
"0";"Bruant des roseaux"
"0";"Canard siffleur"
"0";"Chevalier culblanc"
"0";"Chevêche d'Athéna"
"0";"Chouette hulotte"
"0";"Cygne tuberculé"
"0";"Effraie des clochers"
"0";"Faisan vénéré"
"0";"Faucon émerillon"
"0";"Faucon hobereau"
"0";"Fauvette babillarde"
"0";"Fauvette des jardins"
"0";"Fauvette grisette"
"0";"Fuligule milouinan"
"0";"Gallinule poule-d'eau"
"0";"Grosbec casse-noyaux"
"0";"Hibou moyen-duc"
"0";"Huppe fasciée"
"0";"Mésange boréale"
"0";"Perdrix grise"
"0";"Pic épeichette"
"0";"Pic mar"
"0";"Pic noir"
"0";"Pie-grièche écorcheur"
"0";"Pinson du Nord"
"0";"Pipit des arbres"
"0";"Pipit farlouse"
"0";"Pluvier doré"
"0";"Pouillot siffleur"
"0";"Râle d'eau"
"0";"Rossignol philomèle"
"0";"Rougequeue à front blanc"
"0";"Tarin des aulnes"
"0";"Tourterelle des bois"
