"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Aigle botté"
"0";"Alouette lulu"
"0";"Bécasseau falcinelle"
"0";"Bécassine sourde"
"0";"Bergeronnette flavéole (M.f.flavissima)"
"0";"Bruant jaune"
"0";"Choucas des tours"
"0";"Cochevis huppé"
"0";"Corbeau freux"
"0";"Coucou geai"
"0";"Engoulevent d'Europe"
"0";"Faucon émerillon"
"0";"Fauvette pitchou"
"0";"Goéland à bec cerclé"
"0";"Goéland pontique"
"0";"Grèbe esclavon"
"0";"Grive mauvis"
"0";"Guifette leucoptère"
"0";"Guifette moustac"
"0";"Guifette noire"
"0";"Martinet à ventre blanc"
"0";"Mouette pygmée"
"0";"Perdrix grise"
"0";"Petit-duc scops"
"0";"Phalarope à bec étroit"
"0";"Plongeon catmarin"
"0";"Rousserolle turdoïde"
"0";"Sterne caspienne"
"0";"Torcol fourmilier"
