"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Avocette élégante"
"0";"Bécasseau variable"
"0";"Bécassine sourde"
"0";"Blongios nain"
"0";"Bruant jaune"
"0";"Butor étoilé"
"0";"Caille des blés"
"0";"Canard pilet"
"0";"Corneille mantelée"
"0";"Coucou geai"
"0";"Crave à bec rouge"
"0";"Cygne noir"
"0";"Effraie des clochers"
"0";"Faucon émerillon"
"0";"Faucon kobez"
"0";"Fauvette des jardins"
"0";"Flamant rose"
"0";"Fuligule nyroca"
"0";"Garrot à oeil d'or"
"0";"Goéland cendré"
"0";"Grand Gravelot"
"0";"Guifette moustac"
"0";"Guifette noire"
"0";"Harle bièvre"
"0";"Hibou des marais"
"0";"Ibis falcinelle"
"0";"Marouette ponctuée"
"0";"Oedicnème criard"
"0";"Outarde canepetière"
"0";"Pic noir"
"0";"Pipit des arbres"
"0";"Pipit rousseline"
"0";"Plongeon catmarin"
"0";"Traquet oreillard"
"0";"Vautour moine"
