"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Accenteur alpin"
"0";"Bécassine des marais"
"0";"Canard mandarin"
"0";"Cassenoix moucheté"
"0";"Chevalier culblanc"
"0";"Chevêche d'Athéna"
"0";"Courlis cendré"
"0";"Courlis corlieu"
"0";"Effraie des clochers"
"0";"Faucon kobez"
"0";"Fauvette des jardins"
"0";"Goéland cendré"
"0";"Grand-duc d'Europe"
"0";"Grande Aigrette"
"0";"Grimpereau des bois"
"0";"Hibou moyen-duc"
"0";"Locustelle tachetée"
"0";"Martin-pêcheur d'Europe"
"0";"Moineau friquet"
"0";"Monticole de roche"
"0";"Niverolle alpine"
"0";"Oie cendrée"
"0";"Ouette d'Egypte"
"0";"Paon bleu"
"0";"Petit Gravelot"
"0";"Pie-grièche à tête rousse"
"0";"Pie-grièche grise"
"0";"Pipit rousseline"
"0";"Pluvier doré"
"0";"Pouillot ibérique"
"0";"Pouillot siffleur"
"0";"Sizerin flammé"
"0";"Tourterelle des bois"
"0";"Vanneau huppé"
