"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Autour des palombes"
"0";"Bécasseau variable"
"0";"Bécasse des bois"
"0";"Bergeronnette des ruisseaux"
"0";"Bruant des roseaux"
"0";"Canard chipeau"
"0";"Chevalier culblanc"
"0";"Chevalier sylvain"
"0";"Chevêche d'Athéna"
"0";"Cigogne noire"
"0";"Cygne tuberculé"
"0";"Échasse blanche"
"0";"Faucon émerillon"
"0";"Faucon hobereau"
"0";"Fuligule morillon"
"0";"Grèbe huppé"
"0";"Grive litorne"
"0";"Héron pourpré"
"0";"Hibou des marais"
"0";"Hirondelle de rivage"
"0";"Martin-pêcheur d'Europe"
"0";"Mésange boréale"
"0";"Mésange noire"
"0";"Oie cendrée"
"0";"Perdrix rouge"
"0";"Pic cendré"
"0";"Pic épeichette"
"0";"Pouillot fitis"
"0";"Roitelet huppé"
"0";"Sarcelle d'été"
"0";"Tarier des prés"
"0";"Traquet motteux"
