"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Autour des palombes"
"0";"Busard Saint-Martin"
"0";"Caille des blés"
"0";"Corbeau freux"
"0";"Coucou gris"
"0";"Cygne tuberculé"
"0";"Fauvette babillarde"
"0";"Fauvette des jardins"
"0";"Foulque macroule"
"0";"Gobemouche noir"
"0";"Goéland leucophée"
"0";"Hirondelle de rivage"
"0";"Huppe fasciée"
"0";"Mésange boréale"
"0";"Mésange noire"
"0";"Moineau friquet"
"0";"Mouette rieuse"
"0";"Perdrix grise"
"0";"Pic cendré"
"0";"Pic épeichette"
"0";"Pigeon biset domestique"
"0";"Pipit spioncelle"
"0";"Rossignol philomèle"
"0";"Rousserolle effarvatte"
"0";"Sarcelle d'hiver"
"0";"Traquet motteux"
"0";"Vanneau huppé"
"0";"Vautour fauve"
