"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Alouette lulu"
"0";"Bécasseau minute"
"0";"Bécasse des bois"
"0";"Bécassine des marais"
"0";"Bécassine sourde"
"0";"Bec-croisé des sapins"
"0";"Bergeronnette des ruisseaux"
"0";"Bondrée apivore"
"0";"Bouvreuil pivoine"
"0";"Bruant des roseaux"
"0";"Busard des roseaux"
"0";"Canard colvert"
"0";"Chevalier aboyeur"
"0";"Chevalier culblanc"
"0";"Corbeau freux"
"0";"Coucou gris"
"0";"Épervier d'Europe"
"0";"Faucon émerillon"
"0";"Fauvette babillarde"
"0";"Goéland brun"
"0";"Grand Cormoran"
"0";"Grive mauvis"
"0";"Grive musicienne"
"0";"Héron cendré"
"0";"Hibou des marais"
"0";"Martinet noir"
"0";"Martin-pêcheur d'Europe"
"0";"Mésange à longue queue"
"0";"Mésange boréale"
"0";"Mésange huppée"
"0";"Mésange noire"
"0";"Mésange nonnette"
"0";"Outarde canepetière"
"0";"Petit Gravelot"
"0";"Pic épeiche"
"0";"Pic épeichette"
"0";"Pic mar"
"0";"Pie-grièche écorcheur"
"0";"Pie-grièche grise"
"0";"Pigeon colombin"
"0";"Pluvier doré"
"0";"Pouillot fitis"
"0";"Râle des genêts"
"0";"Roitelet huppé"
"0";"Rousserolle verderolle"
"0";"Serin cini"
"0";"Tarin des aulnes"
"0";"Vanneau huppé"
