"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Alouette des champs"
"0";"Autour des palombes"
"0";"Bruant des roseaux"
"0";"Bruant fou"
"0";"Busard des roseaux"
"0";"Busard pâle"
"0";"Caille des blés"
"0";"Chevalier culblanc"
"0";"Effraie des clochers"
"0";"Faucon émerillon"
"0";"Fauvette pitchou"
"0";"Goéland leucophée"
"0";"Grand Cormoran"
"0";"Grive litorne"
"0";"Grosbec casse-noyaux"
"0";"Inséparable de Fischer"
"0";"Petit Gravelot"
"0";"Pie-grièche méridionale"
"0";"Pinson du Nord"
"0";"Tarier des prés"
"0";"Tarin des aulnes"
"0";"Tichodrome échelette"
