"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Autour des palombes"
"0";"Bernache nonnette"
"0";"Bondrée apivore"
"0";"Bruant des roseaux"
"0";"Busard des roseaux"
"0";"Canard siffleur"
"0";"Chevalier guignette"
"0";"Cigogne blanche"
"0";"Cincle plongeur"
"0";"Faucon pèlerin"
"0";"Fuligule milouin"
"0";"Grèbe huppé"
"0";"Hibou moyen-duc"
"0";"Locustelle tachetée"
"0";"Mésange boréale"
"0";"Mésange huppée"
"0";"Moineau friquet"
"0";"Perdrix rouge"
"0";"Petit-duc scops"
"0";"Pigeon biset domestique"
"0";"Pluvier doré"
