frname,lastobs,newcount,oldcount
Aigrette garzette,2018,0,14
Alouette des champs,2017,0,14
Autour des palombes,2013,0,7
Bécasse des bois,2016,0,2
Bergeronnette printanière,2017,0,2
Bouscarle de Cetti,2010,0,2
Bruant jaune,2010,0,2
Bruant zizi,2017,0,7
Busard cendré,2012,0,4
Caille des blés,2010,0,2
Canard souchet,2013,0,1
Chevalier culblanc,2015,0,2
Chevêche d'Athéna,2011,0,4
Élanion blanc,2010,0,1
Grande Aigrette,2015,0,4
Guifette noire,2017,0,1
Léiothrix jaune,2016,0,2
Merle à plastron,2017,0,1
Moineau friquet,2017,0,1
Océanite culblanc,2009,0,2
Oie cendrée,2017,0,3
Perdrix rouge,2016,0,3
Phragmite des joncs,2015,0,1
Pie-grièche écorcheur,2018,0,5
Pipit rousseline,2018,0,3
Pipit spioncelle,2018,0,2
Tarier des prés,2014,0,2
Torcol fourmilier,2010,0,2
Tourterelle des bois,2016,0,13
Vanneau huppé,2016,0,4
