frname,lastobs,newcount,oldcount
Bernache nonnette,2009,0,1
Canard pilet,2009,0,1
Chevalier gambette,2009,0,1
Chevalier sylvain,2018,0,1
Combattant varié,2009,0,1
Corbeau freux,2018,0,3
Corneille mantelée,2019,0,3
Courlis cendré,2019,0,3
Grand Corbeau,2018,0,1
Grosbec casse-noyaux,2017,0,5
Hypolaïs polyglotte,2009,0,1
Merle à plastron,2017,0,1
Mésange boréale,2009,0,1
Moineau friquet,2009,0,1
Ouette d'Egypte,2009,0,1
Panure à moustaches,2009,0,1
Perdrix rouge,2009,0,2
Pie-grièche grise,2009,0,1
Pigeon biset (origine naturelle),2009,0,1
Pipit des arbres,2009,0,1
Plongeon imbrin,2019,0,2
Pouillot siffleur,2018,0,1
Puffin des Anglais,2018,0,2
Sarcelle d'été,2009,0,1
Sterne naine,2018,0,1
