"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Bécasse des bois"
"0";"Bécassine des marais"
"0";"Bihoreau gris"
"0";"Bouvreuil pivoine"
"0";"Canard chipeau"
"0";"Canard souchet"
"0";"Chevalier aboyeur"
"0";"Cigogne blanche"
"0";"Cigogne noire"
"0";"Courlis cendré"
"0";"Faucon émerillon"
"0";"Goéland brun"
"0";"Grèbe castagneux"
"0";"Héron pourpré"
"0";"Hirondelle de rivage"
"0";"Mésange huppée"
"0";"Mésange nonnette"
"0";"Milan royal"
"0";"Mouette rieuse"
"0";"Oie cendrée"
"0";"Outarde canepetière"
"0";"Pouillot de Bonelli"
"0";"Roitelet huppé"
"0";"Rougequeue à front blanc"
"0";"Rousserolle effarvatte"
"0";"Sarcelle d'hiver"
"0";"Sittelle torchepot"
"0";"Tarier des prés"
"0";"Torcol fourmilier"
