frname,lastobs,newcount,oldcount
Alouette des champs,2013,0,2
Autour des palombes,2009,0,1
Bécassine des marais,2009,0,3
Bécassine sourde,2008,0,1
Bergeronnette des ruisseaux,2016,0,5
Bergeronnette printanière,2018,0,1
Bernache nonnette,2010,0,1
Bihoreau gris,2013,0,1
Bruant jaune,2009,0,2
Bruant proyer,2009,0,1
Busard cendré,2011,0,1
Butor étoilé,2014,0,2
Canard mandarin,2016,0,1
Canard pilet,2017,0,7
Canard siffleur,2017,0,9
Courlis cendré,2013,0,5
Cygne tuberculé,2013,0,3
Échasse blanche,2013,0,1
Effraie des clochers,2016,0,12
Engoulevent d'Europe,2013,0,4
Érismature rousse,2016,0,3
Faucon émerillon,2010,0,1
Faucon pèlerin,2008,0,1
Fauvette grisette,2013,0,3
Fuligule milouinan,2017,0,1
Garrot à oeil d'or,2014,0,2
Gobemouche gris,2012,0,3
Goéland leucophée,2017,0,6
Grande Aigrette,2017,0,3
Grive litorne,2017,0,2
Guifette noire,2014,0,1
Hirondelle de fenêtre,2013,0,2
Hirondelle rustique,2018,0,13
Huppe fasciée,2018,0,21
Linotte mélodieuse,2015,0,5
Locustelle tachetée,2009,0,1
Martinet noir,2013,0,5
Mésange noire,2009,0,2
Milan noir,2015,0,6
Moineau friquet,2009,0,1
Pic épeichette,2011,0,2
Pigeon biset domestique,2013,0,2
Pipit spioncelle,2014,0,2
Pouillot de Bonelli,2013,0,1
Pouillot fitis,2011,0,1
Râle d'eau,2016,0,4
Rossignol philomèle,2014,0,11
Rougequeue noir,2018,0,14
Serin cini,2015,0,5
Tarin des aulnes,2016,0,5
Torcol fourmilier,2015,0,1
Verdier d'Europe,2017,0,19
