"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Alouette lulu"
"0";"Autour des palombes"
"0";"Bécassine des marais"
"0";"Bruant jaune"
"0";"Bruant ortolan"
"0";"Caille des blés"
"0";"Chardonneret élégant"
"0";"Chouette hulotte"
"0";"Faisan de Colchide"
"0";"Faucon hobereau"
"0";"Faucon pèlerin"
"0";"Grand Cormoran"
"0";"Grèbe castagneux"
"0";"Héron cendré"
"0";"Hirondelle rustique"
"0";"Huppe fasciée"
"0";"Martinet noir"
"0";"Milan royal"
"0";"Pie bavarde"
"0";"Pigeon ramier"
"0";"Rougequeue à front blanc"
"0";"Sarcelle d'hiver"
"0";"Tichodrome échelette"
