"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Aigle royal"
"0";"Aigrette garzette"
"0";"Bec-croisé des sapins"
"0";"Bruant ortolan"
"0";"Busard cendré"
"0";"Caille des blés"
"0";"Calopsitte élégante"
"0";"Canard pilet"
"0";"Chevalier arlequin"
"0";"Chevalier guignette"
"0";"Courlis cendré"
"0";"Faucon hobereau"
"0";"Goéland leucophée"
"0";"Grèbe huppé"
"0";"Jaseur boréal"
"0";"Locustelle tachetée"
"0";"Perdrix grise"
"0";"Perdrix rouge"
"0";"Perruche à collier"
"0";"Perruche ondulée"
"0";"Petit Gravelot"
"0";"Pie-grièche à tête rousse"
"0";"Pluvier doré"
"0";"Pouillot siffleur"
"0";"Sarcelle d'été"
"0";"Sizerin cabaret"
"0";"Sizerin flammé"
"0";"Tadorne casarca"
