"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Aigle royal"
"0";"Bécasseau variable"
"0";"Blongios nain"
"0";"Bruant ortolan"
"0";"Butor étoilé"
"0";"Chevalier aboyeur"
"0";"Cigogne noire"
"0";"Cochevis huppé"
"0";"Corneille mantelée"
"0";"Cygne tuberculé"
"0";"Échasse blanche"
"0";"Engoulevent d'Europe"
"0";"Faucon émerillon"
"0";"Faucon kobez"
"0";"Fauvette babillarde"
"0";"Goéland brun"
"0";"Grèbe à cou noir"
"0";"Grimpereau des bois"
"0";"Guifette noire"
"0";"Hirondelle de rochers"
"0";"Marouette ponctuée"
"0";"Mésange boréale"
"0";"Pie-grièche à tête rousse"
"0";"Pie-grièche grise"
"0";"Rollier d'Europe"
"0";"Sizerin cabaret"
"0";"Sizerin flammé"
"0";"Sterne naine"
"0";"Sterne pierregarin"
"0";"Tadorne de Belon"
