"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Aigle botté"
"0";"Alouette lulu"
"0";"Bécasse des bois"
"0";"Bergeronnette des ruisseaux"
"0";"Bergeronnette printanière"
"0";"Bruant fou"
"0";"Bruant proyer"
"0";"Choucas des tours"
"0";"Cigogne noire"
"0";"Cisticole des joncs"
"0";"Épervier d'Europe"
"0";"Faucon crécerelle"
"0";"Faucon hobereau"
"0";"Gallinule poule-d'eau"
"0";"Gobemouche gris"
"0";"Gobemouche noir"
"0";"Hirondelle de fenêtre"
"0";"Martinet noir"
"0";"Martin-pêcheur d'Europe"
"0";"Milan noir"
"0";"Moineau friquet"
"0";"Pic épeichette"
"0";"Pic noir"
"0";"Pie-grièche écorcheur"
"0";"Pigeon biset domestique"
"0";"Pipit des arbres"
"0";"Pipit farlouse"
"0";"Pouillot fitis"
"0";"Roitelet à triple bandeau"
"0";"Roitelet huppé"
"0";"Rousserolle effarvatte"
"0";"Serin cini"
"0";"Tarier des prés"
"0";"Traquet motteux"
"0";"Vanneau huppé"
