frname,lastobs,newcount,oldcount
Bernache du Canada,2014,0,1
Canard chipeau,2014,0,2
Chevalier aboyeur,2015,0,1
Chouette de Tengmalm,2018,0,1
Cisticole des joncs,2017,0,1
Faisan de Colchide,2017,0,8
Faucon émerillon,2014,0,1
Fuligule morillon,2012,0,2
Gallinule poule-d'eau,2015,0,12
Grand-duc d'Europe,2017,0,3
Grèbe à cou noir,2011,0,1
Grèbe castagneux,2018,0,3
Grimpereau des bois,2017,0,15
Grive mauvis,2014,0,9
Locustelle tachetée,2014,0,4
Martin-pêcheur d'Europe,2014,0,8
Mouette rieuse,2017,0,1
Petit Gravelot,2014,0,1
Pic cendré,2018,0,5
Râle d'eau,2014,0,8
Rousserolle verderolle,2015,0,3
Sarcelle d'été,2018,0,4
Sarcelle d'hiver,2018,0,8
Vanneau huppé,2015,0,3
