frname,lastobs,newcount,oldcount
Aigle botté,2013,0,1
Bécasseau rousset,2017,0,23
Bécasseau tacheté,2012,0,24
Bec-croisé des sapins,2014,0,4
Bernache nonnette,2012,0,6
Dendrocygne fauve,2018,0,3
Faucon kobez,2008,0,1
Grèbe esclavon,2012,0,14
Guifette leucoptère,2012,0,3
Harle piette,2010,0,21
Hibou des marais,2016,0,17
Hibou moyen-duc,2016,0,27
Huîtrier pie,2017,0,2
Ibis falcinelle,2014,0,31
Locustelle tachetée,2013,0,2
Macreuse brune,2009,0,31
Merle à plastron,2015,0,3
Perruche à collier,2018,0,1
Perruche ondulée,2015,0,1
Tourterelle rieuse,2017,0,1
Vautour fauve,2012,0,14
