frname,lastobs,newcount,oldcount
Bergeronnette des ruisseaux,2013,0,1
Bouvreuil pivoine,2016,0,3
Busard des roseaux,2017,0,3
Canard mandarin,2017,0,1
Chevalier culblanc,2013,0,1
Chevalier gambette,2013,0,1
Chevalier guignette,2016,0,1
Chouette hulotte,2015,0,3
Cincle plongeur,2012,0,3
Courlis cendré,2018,0,1
Cygne tuberculé,2012,0,2
Faucon émerillon,2016,0,1
Faucon hobereau,2018,0,4
Faucon pèlerin,2018,0,2
Gobemouche à collier,2015,0,5
Grand Corbeau,2018,0,1
Grèbe castagneux,2014,0,2
Grimpereau des bois,2014,0,3
Hypolaïs polyglotte,2014,0,1
Mésange boréale,2014,0,1
Mouette rieuse,2018,0,3
Pinson du Nord,2013,0,1
Roitelet huppé,2015,0,1
Rousserolle turdoïde,2017,0,1
Sarcelle d'hiver,2009,0,1
Torcol fourmilier,2017,0,5
Vautour moine,2015,0,4
