frname,lastobs,newcount,oldcount
Aigle royal,2012,0,3
Alouette calandrelle,2007,0,1
Avocette élégante,2013,0,1
Barge à queue noire,2012,0,1
Bécassine sourde,2018,0,2
Bec-croisé des sapins,2016,0,1
Bruant des neiges,2007,0,1
Canard carolin,2016,0,8
Combattant varié,2015,0,1
Courlis cendré,2018,0,29
Faisan doré,2016,0,1
Garrot à oeil d'or,2015,0,5
Gorgebleue à miroir,2017,0,3
Jaseur boréal,2013,0,2
Mouette pygmée,2015,0,1
Outarde canepetière,2007,0,1
Perruche à collier,2014,0,1
Petit-duc scops,2008,0,3
Pie-grièche grise,2015,0,2
Pluvier guignard,2007,0,1
Pouillot de Bonelli,2018,0,3
Rémiz penduline,2010,0,1
Rousserolle verderolle,2018,0,1
Sizerin cabaret,2018,0,8
Sizerin flammé,2018,0,8
Tadorne casarca,2016,0,10
Venturon montagnard,2018,0,1
