frname,lastobs,newcount,oldcount
Aigle botté,2013,0,3
Autour des palombes,2015,0,6
Barge à queue noire,2017,0,1
Bécasse des bois,2018,0,9
Bécassine des marais,2010,0,2
Bécassine sourde,2010,0,2
Bec-croisé des sapins,2010,0,1
Bruant des roseaux,2017,0,2
Busard des roseaux,2017,0,6
Canard pilet,2018,0,1
Circaète Jean-le-Blanc,2008,0,1
Faucon émerillon,2013,0,2
Héron pourpré,2013,0,1
Mésange boréale,2014,0,1
Mouette rieuse,2015,0,3
Perdrix rouge,2018,0,23
Pie-grièche à tête rousse,2016,0,4
Pie-grièche grise,2011,0,8
Pigeon colombin,2016,0,9
Pipit farlouse,2017,0,14
Rémiz penduline,2015,0,2
Sarcelle d'hiver,2015,0,4
Tarier des prés,2017,0,7
