frname,lastobs,newcount,oldcount
Bécasse des bois,2018,0,4
Bec-croisé des sapins,2017,0,1
Bruant des roseaux,2012,0,2
Bruant fou,2009,0,1
Caille des blés,2014,0,4
Chouette hulotte,2017,0,20
Crave à bec rouge,2016,0,2
Engoulevent d'Europe,2016,0,4
Faucon d'Eléonore,2012,0,2
Faucon kobez,2017,0,1
Fauvette mélanocéphale,2018,0,2
Fauvette pitchou,2017,0,1
Gallinule poule-d'eau,2009,0,1
Goéland brun,2016,0,2
Goéland leucophée,2015,0,2
Grand Cormoran,2018,0,3
Grimpereau des bois,2009,0,1
Grive litorne,2013,0,2
Grosbec casse-noyaux,2018,0,9
Hibou moyen-duc,2009,0,4
Hypolaïs polyglotte,2018,0,3
Moineau friquet,2019,0,2
Mouette rieuse,2017,0,1
Perdrix rouge,2017,0,4
Petit-duc scops,2017,0,3
Pic épeichette,2009,0,3
Pie-grièche méridionale,2013,0,2
Rougequeue à front blanc,2018,0,4
Rousserolle effarvatte,2012,0,1
Vanneau huppé,2016,0,1
Vautour moine,2014,0,1
