frname,lastobs,newcount,oldcount
Bouvreuil pivoine,2016,0,4
Busard cendré,2017,0,1
Caille des blés,2013,0,2
Cincle plongeur,2018,0,3
Faisan de Colchide,2011,0,2
Fauvette mélanocéphale,2009,0,1
Fauvette orphée,2012,0,5
Fauvette pitchou,2012,0,4
Gobemouche noir,2018,0,2
Grive mauvis,2014,0,1
Grive musicienne,2017,0,29
Guêpier d'Europe,2012,0,1
Héron cendré,2012,0,1
Hypolaïs polyglotte,2015,0,4
Loriot d'Europe,2014,0,3
Mésange boréale,2017,0,21
Niverolle alpine,2017,0,2
Pic épeichette,2014,0,3
Pinson du Nord,2014,0,3
Pipit farlouse,2018,0,2
Pouillot siffleur,2015,0,5
Roitelet huppé,2018,0,17
Tarier des prés,2012,0,1
Tichodrome échelette,2016,0,5
Torcol fourmilier,2017,0,9
Tourterelle des bois,2015,0,3
Vautour moine,2018,0,4
