frname,lastobs,newcount,oldcount
Aigrette garzette,2016,0,5
Alouette des champs,2013,0,1
Bécasseau variable,2017,0,1
Bécasse des bois,2016,0,1
Bergeronnette printanière,2017,0,2
Busard des roseaux,2013,0,2
Chardonneret élégant,2017,0,2
Chevalier arlequin,2017,0,1
Chevalier sylvain,2017,0,1
Choucas des tours,2016,0,1
Cigogne blanche,2016,0,1
Cygne tuberculé,2016,0,2
Épervier d'Europe,2013,0,1
Fuligule milouin,2017,0,2
Fuligule morillon,2017,0,4
Geai des chênes,2016,0,1
Goéland pontique,2017,0,1
Gorgebleue à miroir,2015,0,2
Grèbe huppé,2017,0,6
Grimpereau des jardins,2017,0,1
Hibou moyen-duc,2015,0,1
Martinet noir,2017,0,1
Merle à plastron,2014,0,1
Merle noir,2017,0,1
Mésange à longue queue,2017,0,1
Mésange bleue,2017,0,1
Mésange charbonnière,2017,0,1
Mouette rieuse,2017,0,1
Pic épeiche,2017,0,2
Pic vert,2017,0,3
Pie bavarde,2017,0,1
Pigeon colombin,2017,0,1
Pigeon ramier,2015,0,1
Pinson des arbres,2017,0,1
Pipit farlouse,2015,0,1
Pluvier argenté,2017,0,1
Pluvier doré,2017,0,2
Pluvier guignard,2017,0,1
Râle d'eau,2015,0,1
Roitelet à triple bandeau,2017,0,1
Rougegorge familier,2017,0,1
Sarcelle d'hiver,2016,0,2
Sittelle torchepot,2017,0,1
Tadorne de Belon,2015,0,1
Tarier pâtre,2017,0,1
Troglodyte mignon,2017,0,2
Vanneau huppé,2013,0,3
