frname,lastobs,newcount,oldcount
Aigle botté,2014,0,3
Bécasseau de Temminck,2018,0,1
Bécasseau variable,2015,0,3
Bernache du Canada,2015,0,2
Bruant fou,2018,0,1
Bruant jaune,2018,0,1
Bruant ortolan,2018,0,1
Canard pilet,2013,0,2
Canard siffleur,2012,0,2
Chevalier gambette,2018,0,6
Corbeau freux,2013,0,1
Eider à duvet,2014,0,8
Etourneau roselin,2014,0,2
Faucon crécerellette,2012,0,1
Faucon kobez,2017,0,2
Faucon pèlerin,2013,0,3
Fauvette pitchou,2018,0,4
Fuligule milouin,2012,0,2
Fuligule nyroca,2012,0,1
Goéland pontique,2013,0,1
Goéland railleur,2016,0,1
Gorgebleue à miroir,2018,0,1
Grive litorne,2012,0,2
Hibou des marais,2013,0,2
Hibou moyen-duc,2014,0,2
Hirondelle de rochers,2018,0,2
Hirondelle rousseline,2011,0,4
Ibis sacré,2010,0,2
Lusciniole à moustaches,2009,0,1
Marouette ponctuée,2016,0,2
Mésange noire,2018,0,4
Oie cendrée,2012,0,3
Pie-grièche méridionale,2009,0,1
Pipit à gorge rousse,2018,0,1
Pipit spioncelle,2018,0,1
Plongeon arctique,2015,0,1
Pluvier doré,2019,0,10
Pouillot ibérique,2018,0,1
Rémiz penduline,2018,0,2
Rousserolle turdoïde,2018,0,4
Sarcelle d'été,2018,0,6
Spatule blanche,2016,0,2
Tadorne casarca,2012,0,2
Vautour fauve,2016,0,1
