frname,lastobs,newcount,oldcount
Aigle botté,2017,0,1
Aigle royal,2009,0,1
Bécassine des marais,2012,0,1
Bihoreau gris,2009,0,1
Bruant fou,2017,0,3
Bruant ortolan,2010,0,1
Canard chipeau,2018,0,1
Chevalier sylvain,2017,0,1
Échasse blanche,2013,0,1
Faucon kobez,2018,0,1
Fauvette babillarde,2015,0,1
Foulque macroule,2015,0,3
Grèbe huppé,2012,0,1
Héron pourpré,2018,0,3
Locustelle luscinioïde,2009,0,1
Mésange boréale,2014,0,1
Moineau friquet,2014,0,9
Perruche ondulée,2017,0,4
Petit-duc scops,2009,0,3
Pie-grièche grise,2010,0,1
Pipit spioncelle,2012,0,2
Pouillot siffleur,2009,0,2
Râle d'eau,2007,0,1
Rousserolle effarvatte,2013,0,2
Sterne pierregarin,2013,0,1
Tadorne de Belon,2013,0,1
