frname,lastobs,newcount,oldcount
Alouette lulu,2019,0,2
Barge à queue noire,2019,0,3
Barge rousse,2017,0,1
Bécasseau maubèche,2018,0,2
Bécasseau sanderling,2019,0,4
Bécasseau variable,2019,0,3
Bécasse des bois,2019,0,4
Bécassine sourde,2017,0,1
Bernache cravant,2019,0,2
Combattant varié,2018,0,1
Faucon émerillon,2017,0,1
Fou de Bassan,2019,0,6
Goéland pontique,2019,0,1
Grand Gravelot,2019,0,4
Grand Labbe,2017,0,2
Guillemot de Troïl,2019,0,4
Harelde boréale,2017,0,3
Héron pourpré,2017,0,1
Huîtrier pie,2019,0,8
Mouette tridactyle,2019,0,2
Pic cendré,2017,0,1
Pingouin torda,2019,0,4
Pipit maritime,2018,0,1
Plongeon arctique,2017,0,2
Plongeon catmarin,2019,0,6
Plongeon imbrin,2018,0,2
Pluvier argenté,2019,0,3
Pluvier doré,2018,0,1
Sizerin cabaret,2018,0,1
Sizerin flammé,2018,0,1
Sterne caugek,2019,0,5
Tournepierre à collier,2019,0,6
Traquet motteux,2017,0,1
