frname,lastobs,newcount,oldcount
Avocette élégante,2012,0,4
Bécassine sourde,2011,0,2
Bernache cravant,2016,0,4
Bernache nonnette,2013,0,2
Bruant proyer,2011,0,1
Busard cendré,2017,0,2
Butor étoilé,2015,0,2
Canard chipeau,2017,0,4
Canard mandarin,2011,0,4
Chevalier sylvain,2011,0,1
Cochevis huppé,2009,0,2
Dendrocygne fauve,2018,0,1
Fuligule milouin,2018,0,24
Goéland à ailes blanches,2014,0,1
Goéland bourgmestre,2013,0,1
Goéland marin,2017,0,25
Guifette noire,2015,0,2
Harle bièvre,2016,0,21
Ibis sacré,2010,0,1
Mésange huppée,2015,0,2
Milan royal,2013,0,2
Moineau friquet,2017,0,3
Mouette pygmée,2018,0,4
Oie à tête barrée,2018,0,1
Petit-duc scops,2014,0,1
Plongeon imbrin,2011,0,7
Pouillot à grands sourcils,2018,0,1
Sizerin cabaret,2017,0,6
Sizerin flammé,2017,0,6
Sterne caspienne,2015,0,1
