frname,lastobs,newcount,oldcount
Aigle criard,2009,0,1
Astrild ondulé,2016,0,1
Autour des palombes,2017,0,4
Bécasseau de Bonaparte,2017,0,7
Bécasse des bois,2015,0,2
Bergeronnette flavéole (M.f.flavissima),2015,0,2
Bernache cravant,2012,0,4
Bernache nonnette,2012,0,1
Bruant des neiges,2014,0,14
Bruant lapon,2010,0,1
Chevêche d'Athéna,2017,0,4
Conure veuve,2018,0,1
Dendrocygne fauve,2014,0,48
Dendrocygne veuf,2012,0,2
Élanion blanc,2011,0,1
Étourneau unicolore,2010,0,2
Flamant nain,2013,0,1
Fuligule milouinan,2011,0,28
Gobemouche à demi-collier,2018,0,18
Grand Labbe,2016,0,11
Grèbe jougris,2019,0,10
Harle piette,2011,0,3
Macareux moine,2007,0,2
Marouette poussin,2015,0,1
Mésange noire,2018,0,5
Moineau cisalpin,2017,0,2
Monticole de roche,2017,0,1
Océanite tempête,2009,0,1
Oie des moissons,2013,0,5
Oie rieuse,2013,0,3
Ouette d'Égypte,2012,0,1
Perruche ondulée,2015,0,1
Pipit de Richard,2013,0,1
Pouillot ibérique,2018,0,1
Sizerin cabaret,2018,0,3
Sizerin flammé,2018,0,3
Vautour fauve,2013,0,5
